ID,text
101,"RT @marmitemarmz: A cycling group has been named on the counter-terrorism watch list alongside far-right, neo-nazi and jihadi groups

Criti…"
102,"RT @tomgara: A man sued his employer for racial discrimination, settled the suit, took the settlement check to the bank to cash it, then th…"
103,"RT @neekhilpareek: ! Confirm News !

When salman said #asim and shukla to come out and fight were asim said no due to respect

IMP :-salman…"
104,Some good news on #editorcat She's responding to fluids and eating again. The idea is still to have her home on Tue… https://t.co/Q6QxIvTwjK
105,"RT @TomSteyer: African Americans are just 13% of the population of this country, but a majority of homeless folks. That doesn’t just happen…"
106,"RT @evanmcmurry: BREAKING: New @ABC News/WaPo poll: https://t.co/srAusCxOQM

Biden: 28%
Sanders: 24%
Warren: 11%
Bloomberg: 8%
Yang: 7%
But…"
107,RT @gmanetwork: Kisses Delavin shares her experience touring around GMA on #TWAC. Watch it HERE! https://t.co/DICv9YHiUu
108,RT @theorphanmoon68: Macron has a civil war in his country and all he can think about is his little fishing rod. I suspect Mrs. Macron is t…
109,"RT @RPhantom91: Trump Legal Team Lays Out 6-Point Case Crushing Democrats’ Impeachment Claims
 https://t.co/oFYKvgG5WU .@SaraCarterDC .@sea…"
110,RT @DilliDurAst: Principal Economic Adviser to the Ministry of Finance Sanjeev Sanyal Thursday argued that that Indian history needs to be…
111,RT @EmericanJohnson: Ben Franklin would definitely host some shitty Fox News show were he alive today https://t.co/b3KRobsCMw
112,RT @Hnarbh: What the actual fuck is wrong with this world bro
113,"On #GlobalWarming and #ClimateChange, solutions are possible. We can take tangible and practical steps. #Economics… https://t.co/yEAuPoZCwQ"
114,RT @AndrewYang: 7% nationwide in ABC qualifying poll.  It is on #yanggang!  😀👍🚀
115,RT @Spotboye: #EktaKapoor has been conferred with the #PadmaShri Award. #HinaKhan #MouniRoy #RheaKapoor congratulate her for this huge achi…
116,RT @appurv_gupta: What a lovely news. HC Verma Sir is getting PadmaShree award. Congratulations Sir ❤️❤️ https://t.co/ugN96tDy62
117,"RT @realDonaldTrump: Our case against lyin’, cheatin’, liddle’ Adam “Shifty” Schiff, Cryin’ Chuck Schumer, Nervous Nancy Pelosi, their lead…"
118,"RT @SubjectKpop: All the news sites are reporting on the issue now

Hopefully the upcoming news is about JYPE filing another lawsuit on him…"
119,"RT @KaiNationUnion: 200125 [NEWS] Four stylish male idols carrying a women's bag

1. EXO's KAI
🔗https://t.co/ATf4VoZFzL

Please open and sh…"
120,RT @gfriend_part: [SPOT] #GFRIEND SinB and Umji promoting Jeju Island video was used by YTN News report of ‘K-Tourism and K-Food Spread by…
121,"RT @LivEchoLFC: Liverpool could be 22 points clear of Man City by the next time Pep Guardiola's men play again

https://t.co/XUXIhSWEQS"
122,"RT @DFBHarvard: ""The outstanding caliber of Democratic candidates makes it difficult to choose just one,"" says the Des Moines Register's Ed…"
123,RT @GangGauti: Is it true @imParagTyagi ko police uthake leke gayi because of his threat to #AsimRiaz and Asim Squad's complaint to Mumbai…
124,"RT @vanessa_vash: I am a climate activist from Uganda 

I am so proud to be an African

I am not going to be silenced

I am going to speak…"
125,"This makes me happy 😊 
BBC News - Keeping Faith to return for final series, BBC Wales confirms
https://t.co/FuCihitUpr"
