id,text
73,"RT @sotiridi: Video footage somewhere in the #Hubei province of paramilitary police forces of #China, roaming the streets with rifles and t…"
74,RT @CBSNews: Coronavirus deaths mount as U.S. plans more evacuations from outbreak epicenter in China https://t.co/VAbfFdfW87 https://t.co/…
75,"RT @stuartlauscmp: Leading infectious diseases expert Dr Ho Pak-leung of HKU painted a very, very dire picture: Up to 44,000 people could d…"
76,"RT @YeOldHongKonger: Stop #TyrantXi spreader of the

#XiJinpingPlague

I call on all freedom, health loving tweeters to use this hashtag wh…"
77,#CCP don't even bother to paid for the molecular based diagnostic kit to confirm the positive cases (or to them… https://t.co/mGh9Yg2SBn
78,"Newborn becomes youngest person diagnosed with coronavirus as infections near 30K

https://t.co/XO0kD5r97M"
79,RT @lordvictor: Why are 300 million chickens starving due to Wuhan Coronavirus?
80,RT @next_china: Beijing lashes out at countries imposing harsh travel restrictions on visitors from China as the world tries to contain the…
81,"RT @TomvdMolen: Confirmed #coronavirus cases by country:
🇨🇳 27,358 &amp; 562 dead
🇯🇵 35
🇸🇬 28
🇹🇭 25
🇰🇷 19
🇭🇰 17 &amp; 1 dead
🇦🇺 14
🇩🇪 12
🇺🇸 12
🇲🇾 1…"
82,RT @PeterEgan6: Jill you are amazing..the bears are amazing and our team @AnimalsAsia are amazing..tweeps please share this with all your f…
83,RT @StephenMcDonell: Some pretty alarming projections here regarding the #coronavirus outbreak in #China...
84,RT @STcom: Singapore florists in a tizzy as coronavirus outbreak disrupts flower supply from China https://t.co/KNZj3sujpw
85,RT @Life_Disrupted: Stanley Johnson is our Ivanka.
86,"RT @Mondaylee: China built a new state of the art hospital within two weeks to tackle the CoronaVirus outbreak.
This is how a functional sy…"
87,RT @Independent: Boris Johnson’s father accidentally emails BBC expressing China’s concerns over ‘no message’ from PM after coronavirus - f…
88,"RT @BBCWorld: Hong Kong to quarantine visitors from mainland China, as it battles to prevent coronavirus spread https://t.co/G3D5U6ZrRw"
89,RT @howroute: This is how CCP is monitoring WeChat and other channels. So much surveillance in China due to censorship. If only Chinese tho…
90,"With threat from coronavirus looming large, a Chinese woman got married to an Indian man in East Midnapore on Wedne… https://t.co/kWZN1s33Hx"
91,RT @Reuters: Oil rises a second day in 'relief rally' over China coronavirus https://t.co/iX8SnuokWi https://t.co/EThycWD1zX
92,"RT @ThePrintScience: New report says coronavirus outbreak doubling every 6.4 days but it’s less deadly than SARS

Himani Chandna  
@Chandna…"
93,"RT @cnni: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
94,"RT @ABSCBNNews: JUST IN: A Filipina domestic worker died of a still undetermined strain of the coronavirus in Dubai, Labor Secretary Silves…"
95,RT @TonyySays: Chinese woman gets attacked for wearing a mask in nyc. #coronaviruschina #coronavirus #NYC https://t.co/IlaYC9aMjE
96,RT @debswinecabinet: Coronavirus outbreak: Tertiary education international student market faces $8 billion hit from China travel ban https…
97,"RT @cnni: Global numbers on coronavirus as it stands:

• Total confirmed cases globally: 28,273 cases, 565 deaths   
• Mainland China: 28,0…"
98,"RT @Darky999: This is a MUST WATCH video.  Prof Neil Ferguson is about as expert as anyone in the world.  He estimates 50,000 being infecte…"
99,"RT @brexit_sham: Nov' 2019: This buffoon implied the public were stupid. On Tuesday, after meeting Chinese ambassador Liu Xiaoming - who'd…"
100,"RT @FinancialXpress: Three medical students from the state studying in Wuhan university in China, have tested positive for the infection an…"
101,"RT @johnpilger: Under cover of coronavirus, the US and its 'allies' are waging war against China. The racist travel bans and media hysteria…"
102,RT @MailOnline: Overworked coronavirus doctor dies of cardiac arrest after fighting killer disease on the front line for 10 straight days #…
103,RT @MothershipSG: Chinese doctor held 10-minute wedding before rushing back to hospital to treat coronavirus patients https://t.co/QFHHPIIv…
104,"RT @LimSiChing: Drunk driving VS Wuhan Coronavirus in Malaysia. 

Which is deadlier?

I say drunk driving."
105,"RT @CNN: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
106,"RT @samirasawlani: Hey all.
So over the last few days I’ve been interviewing African students in Wuhan.
They are scared, frustrated and ang…"
107,RT @Adomenas: It's possible that #Wuhan coronavirus official data are false and minimize the actual danger. #Tencent may have accidentally…
108,RT @StephenMcDonell: Pretty worrying analysis here from Professor Neil Ferguson. In #China maybe only 10% of #coronavirus infections being…
109,"RT @cnni: Global numbers on coronavirus as it stands:

• Total confirmed cases globally: 28,273 cases, 565 deaths   
• Mainland China: 28,0…"
110,Coronavirus: Several trade shows postponed or cancelled - https://t.co/Nltrxd7L8L
111,"RT @naval: 10% or less of the cases in China are being detected, 25% outside China.

Really around 50K new cases per day in China, doubling…"
112,I do not think the corona virus is the beginning of the zombie apocalypse. I do think it is one of many future “plagues” #iamup
113,Coronavirus: Hong Kong medics tell gov’t to offer more support or face mass resignations https://t.co/Or6CUedwZP… https://t.co/ErkDsNnxEf
114,I just saw Coronavirus from China: Why One Health Is The Solution - Click to see also ☛  https://t.co/YOXsm8Irbp
115,RT @StephenMcDonell: Pretty worrying analysis here from Professor Neil Ferguson. In #China maybe only 10% of #coronavirus infections being…
116,mommy daddy nsfw nudes rt like #iKON_iDECIDE  kpop gc promo rp nsfw twitter reply comment loyal list loyalies fl sm… https://t.co/Q8dxWYCIFm
117,"RT @MichaelH14: “Boris Johnson's father spoke to Chinese ambassador about coronavirus” 

I don’t remember anyone ever electing HIM ?! 

And…"
118,RT @ndr33: China Gives Owners 5 Days To Kill 10k Innocent Pets To “Contain” Coronavirus BASED ON A HOAX!!! https://t.co/nNGZOpTpPQ
119,"Coronavirus: Blood samples of two suspected cases sent to Noguchi Memorial Institute for investigations

Full Story… https://t.co/dlZ1wEBhrk"
120,"RT @MOEsg: [1/2] As schools step up precautions against the Novel Coronavirus, Beatty Secondary students discussed how those experiencing t…"
121,RT @TODAYonline: Coronavirus crisis shows shortcomings of governance in China https://t.co/XpnuTyJwRz https://t.co/l7P5OwpFWN
122,"RT @keya5000: #NCYT $ALNOV #Novacyt

#coronavirus 

Most effective testing kit available globally?"
123,"RT @MarshaBlackburn: While the police force receives lavish benefits, medical staff are forced to work long hours under stressful condition…"
124,"RT @CNNBusiness: Cathay Pacific is asking its 27,000 employees to take three weeks of unpaid leave in the coming months, the latest in a se…"
125,"RT @HongKongFP: In the wake of the #coronavirus outbreak, Hongkongers panic bought tissue and toilet paper on Wednesday. https://t.co/E7TbG…"
126,"RT @marmitemarmz: Who elected patronising rancid bigot Stanley Johnson, anyone? https://t.co/H0M1Ww2Xii"
127,"RT @cnni: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
128,@CheikhEteka @cdiakite1 @drwill20 @legit_linc amazing visualization of corona virus infections
129,RT @StephenMcDonell: Pretty worrying analysis here from Professor Neil Ferguson. In #China maybe only 10% of #coronavirus infections being…
130,"RT @cnni: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
131,"Corona virus update in Japan
18:00 5, January 2020

4 cured
6 almost cured 
6 stable condition 
5 during treatment… https://t.co/IbHSdC03RQ"
132,"RT @maroontito: A Chinese nurse in a coronavirus-hit hospital in Henan province gives her sobbing daughter an “air hug”

A tree is not the…"
133,"RT @PDChina: Leishanshan Hospital, the second makeshift hospital, saw its construction closing to end on Thur, with 90% of the hospital com…"
134,RT @StephenMcDonell: Pretty worrying analysis here from Professor Neil Ferguson. In #China maybe only 10% of #coronavirus infections being…
135,RT @ChinaDaily: American artist @katyperry posted a video to cheer up Chinese people suffering from the novel #coronavirus outbreak on Sina…
136,"RT @DarrenPlymouth: Not really sure what this is hoping to achieve, but it is definitely not a normal response to a virus outbreak. #Corona…"
137,"RT @CNN: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
138,China Clamps Down on Coronavirus Coverage as Cases Surge https://t.co/ppuiMxE3E1
139,"RT @CNN: Despite drastic measures being taken to stop the spread of Wuhan coronavirus, some virology experts believe containing the current…"
140,RT @profcarroll: Surgical masks worn to help prevent contracting coronavirus break facial recog in an ironic twist that would impress Miche…
141,"RT @vladsavov: Finally, some comedic relief. Sound ON! https://t.co/vihgY7ROW9"
142,"RT @HenryYinCNA: Live Snoring Broadcasted. This clip spread on China's social media shows one residential quarter in Chongqing, where someo…"
143,RT @jhayrocas: Is this the first Filipino casualty from the #nCoV2019 ? https://t.co/OPBKwtN3fh
144,RT @Ange27GoGo: hina has a population of 1.3 billion. Deaths caused by coronavirus is 500. That’s 0.00004%. Anyone else think the media are…
145,"""Coronavirus: Death toll crosses 560 as number of confirmed cases grows""  https://t.co/eHbTSrof9f"
146,"RT @samjameskennard: No one voted for Stanley Johnson, people actively voted against Zac Goldsmith, yet they’re involved with everything! W…"
147,"President Xi Jinping said in 2013 in a speech in Moscow, ""we cannot have ourselves physically living in 21st centur… https://t.co/khKMOJoIXi"
148,"RT @2019_nCoV_stats: 100 people quarantined in Uganda, suspected #coronavirus cases. https://t.co/Yi5plmze5H"
149,"RT @lukedepulford: If I were in Hong Kong right now I would be terrified. 

This Dr is not anti-government. Just LOOK at his projections.…"
150,"#Hyderabad #PharmaCity-World's largest #Pharma cluster, coming up in #Telangana, to generate investments upto $100… https://t.co/KahmJUcS01"
151,"RT @Ahm0os: During hard times people can and will be able to find ways to ease on them selves ..... god be with Wuhan and all of us 
#coron…"
152,"RT @CNN: As the Wuhan coronavirus continues to spread beyond China, federal public health officials in the US are taking a rare step: issui…"
153,RT @spectatorindex: BREAKING: Coronavirus death toll rises to 562
154,BBC News - Coronavirus: The economic cost is rising in China and beyond https://t.co/jwQ6zosxaY
155,RT @mollymhunter: @NBCNews We have also not heard whether or not the Dream World will go into full quarantine like the Diamond Princess in…
156,"RT @MailOnline: China's second-biggest company momentarily list coronavirus death toll at 24,589 https://t.co/JWvheVW86b"
157,"RT @naval: 10% or less of the cases in China are being detected, 25% outside China.

Really around 50K new cases per day in China, doubling…"
158,"RT @ChrisMurphyCT: Just left the Administration briefing on Coronavirus. Bottom line: they aren't taking this seriously enough. 

Notably,…"
159,RT @htTweets: #InPics | Frontline medics left with sore marks on face after they took off #Coronavirus masks. Netizens hailed them as heroe…
160,"RT @politikkus: Even in the most dire times and while being quarantined it is good to not loose your humor 🤗

#coronavirus https://t.co/EEV…"
161,The thing saf no be coronavirus but you people dey scare Ghanaians
162,F1 chiefs are scrambling to come up with an alternative to the Chinese Grand Prix as the coronavirus causes havoc w… https://t.co/9uZJJTRJA9
163,"RT @cnni: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
164,RT @V2019N: Tests for the virus were administered to 273 people on the Diamond Princess who had symptoms such as fever or who had close con…
165,"Everybodies going back to work on the 10th lol. On their way to work their buying iphones, nikes and Teslas after b… https://t.co/OOMbOUpSsi"
166,"RT @sceneryfortae: .@KIMTAEHYUNGBAR_ is the only C fansite for a korean idol that has been mentioned in GQ China report for donating 50,000…"
167,"RT @2019_nCoV_stats: 100 people quarantined in Uganda, suspected #coronavirus cases. https://t.co/Yi5plmze5H"
168,RT @Life_Disrupted: Stanley Johnson is our Ivanka.
169,RT @newscientist: The three things we really need to know about the Wuhan coronavirus https://t.co/qUSsmo3Dou https://t.co/NXM2PVSzmg
170,"RT @MarshaBlackburn: While the police force receives lavish benefits, medical staff are forced to work long hours under stressful condition…"
171,RT @andwebackk: The only man that can save us from the Coronavirus https://t.co/ZuDZkag5KR
172,RT @Jkylebass: 20 aboard cruise ship with coronavirus in Japan-cruise ships are floating Petrie dishes..it’s likely the entire crew and pas…
173,RT @Jordan_Sather_: Seems like just a few days ago I was being called a conspiracy theorist all around the internet for talking about the G…
174,"RT @kurd808: God must’ve cursed 2020 for turkey, earthquakes avalanches plane crashes, people testing positive for corona virus. Love to se…"
175,"RT @CGTNOfficial: #BREAKING Construction work of Huoshenshan Hospital, #Wuhan's makeshift hospital built for treating pneumonia patients in…"
176,"RT @cnni: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
177,"RT @klustout: The #coronavirus outbreak in #HongKong widens with reports of 4 local transmission cases &amp; 1,800 people stuck in quarantine o…"
178,RT @ChinaDaily: #EverydayHero A group of medical workers have shaved their hair in order to avoid cross-infection and save time when wearin…
179,"RT @gatewaypundit: China Update: Coronavirus Causing Boredom, Run on Toilet Paper and Aggressive Govt. Tactics on Infected People @JoeHoft…"
180,"RT @CNN: Global numbers on coronavirus as it stands:

• Total confirmed cases globally: 28,273 cases, 565 deaths   
• Mainland China: 28,01…"
181,"RT @hihenrylee: Pohang Univ. of Science and Tech. had to delay or cancel its graduation ceremony due to #coronavirus.

Instead, #POSTECH is…"
182,"RT @IndoPac_Info: #coronavirus:

#China's Tencent may have accidentally leaked real data on #Wuhan virus deaths

Tencent briefly lists 154,…"
183,RT @Sid_Seixeiro: Retweet if you think this guy should go f*** himself.
184,RT @XHNews: Chinese soldiers have worked overnight to deliver supplies for creating makeshift hospitals in Wuhan. #coronavirus https://t.co…
185,"@googlemaps @Google 

You are killing kannada like Corona virus https://t.co/R5IL3piYxR"
186,"RT @CNBCJulianna: BREAKING: #AirFrance *extends* suspension of all flights to and from mainland #China due to #coronavirus to March

Normal…"
187,RT @business: Forget face masks and rubber gloves. The best way to avoid the coronavirus is frequent hand washing. https://t.co/PPz1CbbUmO
188,"RT @Rntk____: Accidently leaked real data about the coronavirus outbreak (source: Taiwan News).

{ Translation}
Confirmed cases: 154k +
Sus…"
189,"RT @KTH_Facts: [INFO]Taehyung's Chinese Fanbase Vbar donated 50,000 surgical mask,20,000 KN-95 Anti pollution Mask, goggles, operating suit…"
190,"RT @SisAnkhAmon: We're pretty sure you've read a lot about the #coronavirus in the news already🧐 
But did you know that it also affects hum…"
191,RT @FluTrackers: China - Reported hospital cluster in Beijing hospital involving 5 staff and 4 patients.  https://t.co/Go30MmIMSe h/t tetan…
192,"RT @sachinsaharan90: #GodMorningThursday
""""Corona virus""""
 China's meat market is the main cause of havoc
Eating meat is against the law of…"
193,"I am no longer trying to reconcile positive #wuhan images of rapidly built ""hospitals"" against the social media lea… https://t.co/zeqQamOhTR"
194,"RT @UN: To fight further spread of #coronavirus and to protect vulnerable states with weak health systems, the international community has…"
195,RT @Jordan_Sather_: Seems like just a few days ago I was being called a conspiracy theorist all around the internet for talking about the G…
196,F1 chiefs draw up Chinese Grand Prix alternatives in crunch meeting due to coronavirus https://t.co/PCrbx0xrID
197,Two Australians among coronavirus patients being held on cruise ship in Japan #sbsaustralia #sbs #australia… https://t.co/BOIHbgeTy5
198,RT @arslan_hidayat: China's #Uighur camps are vulnerable to the country's latest deadly disease. There must be international demands to ins…
199,"Eerie Drone Footage Of Wuhan Reveals China's Real ""Ghost City""  #Coronavirus https://t.co/Ww1tDAWCPa"
200,"RT @viki_gerova: ""The coronavirus is a very good example of the sort of opportunistic moments organised racists look for in order to trigge…"
201,RT @Reuters: The spread of a new coronavirus in mainland China and to 27 countries and regions beyond is alarming health experts. Here’s ho…
202,New story on NPR: Coronavirus Causes Global Economic Woes  https://t.co/MRBGuylORv
203,RT @johnpilger: On 28 January China said it would welcome international help as it struggled to contain coronavirus. No substantial help ha…
204,"RT @incoming_memes: How to wear mask , pls share this so that many people can learn the correct way 
#coronavirus #CoronaOutbreak #Coronavi…"
205,"RT @Darky999: This is a MUST WATCH video.  Prof Neil Ferguson is about as expert as anyone in the world.  He estimates 50,000 being infecte…"
206,"RT @brexit_sham: Nov' 2019: This buffoon implied the public were stupid. On Tuesday, after meeting Chinese ambassador Liu Xiaoming - who'd…"
207,"Coronavirus: Blood samples of two suspected cases sent to Noguchi Memorial Institute for investigations

Full Story… https://t.co/yauCwyBLWz"
208,"RT @DarrenPlymouth: Not really sure what this is hoping to achieve, but it is definitely not a normal response to a virus outbreak. #Corona…"
209,"RT @XHNews: Stay strong, China! A ""fighting virus"" emoji from medical staff at the ICU in Wuhan. #coronavirus #FightVirus https://t.co/w3Yw…"
210,RT @HongKongFP: Coronavirus: Hong Kong medics tell gov’t to offer more support or face mass resignations https://t.co/Or6CUedwZP @krisl #Ho…
211,"RT @lukedepulford: If I were in Hong Kong right now I would be terrified. 

This Dr is not anti-government. Just LOOK at his projections.…"
212,"RT @MarshaBlackburn: While the police force receives lavish benefits, medical staff are forced to work long hours under stressful condition…"
213,"RT @CNN: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
214,"Raveesh Kumar, MEA: All existing e-visas from China are no longer valid. Similarly, normal visas that have been iss… https://t.co/cXzRcpWg2f"
215,"@FreeRadioRevolu Currently, the novel #coronavirus has infected 28,262 among a global population of 7,268,673,500+… https://t.co/2sXBir6NRi"
216,RT @3fo_cheezy: Then say suspected case of coronavirus or whatever dey korle Bu... no where cool again chale. Dem for give holiday till the…
217,"RT @jenniferatntd: FANGCANG HOSPITAL:
We don't accept patients with severe situations!
TWe don't accept those who can't walk, or can't take…"
218,"RT @Gurdeep14967482: #NoMeat_NoCoronaVirus
It is well under stood  that
Corona virus enters to victim
of death Wuhan from meat
Of snakes,ba…"
219,Is there a confirmed case of the coronavirus in Trinidad?
220,RT @NHSuk: The Government and NHS are well prepared to deal with coronavirus.
221,RT @IamEthylGabison: I told you but you didn't listen to my told. Charot!
222,"RT @thoracicrad: 🚨Pneumonia Associated with 2019-nCoV🚨

CT Findings: Bilateral patchy GGOs w/ peripheral &amp; lower lobe predominance → consol…"
223,RT @StephenMcDonell: Prof Ferguson cont...#China is throwing everything at stopping the #coronavirus whether it works will depend on who's…
224,"RT @SmithsonianMag: Last week, the World Health Organization declared coronavirus a global health emergency. What does that mean? https://t…"
225,"RT @RepGallagher: Must read. Weekly reminder that the Chinese Communist Party is not being fully transparent about the Wuhan coronavirus, i…"
226,RT @StephenMcDonell: Pretty worrying analysis here from Professor Neil Ferguson. In #China maybe only 10% of #coronavirus infections being…
227,RT @HelenCRobertson: China’s biggest buyer of liquefied natural gas told suppliers it won’t honor some contracts because of the coronavirus…
228,"RT @lukedepulford: If I were in Hong Kong right now I would be terrified. 

This Dr is not anti-government. Just LOOK at his projections.…"
229,"RT @SCMPNews: With Wuhan on lockdown and food scarcity becoming a concern, authorities are scrambling to deliver necessities into the epice…"
230,"RT @USSANews: Flu, Not Coronavirus, Is the #Virus Killing #U.S. #Kids Like Luca Calanni https://t.co/dD4WfkdI9t"
231,"RT @v_shakthi: ""If the government does not speak with us, we can't stop the strike.""

A Hong Kong medical workers' union continued their st…"
232,RT @johnpilger: On 28 January China said it would welcome international help as it struggled to contain coronavirus. No substantial help ha…
233,"RT @WHOWPRO: 🙅‍♂️🤷‍♀️No, #antibiotics do not work against viruses, only bacteria. The #2019nC0V  is a virus and, therefore, antibiotics sho…"
234,"RT @sceneryfortae: .@KIMTAEHYUNGBAR_ is the only C fansite for a korean idol that has been mentioned in GQ China report for donating 50,000…"
235,"RT @TheMedicaIVideo: LATEST on the coronavirus outbreak in China, as of Feb 5:
 
- 28,018 confirmed cases on Chinese mainland, another 21 i…"
236,"RT @SCMPHongKong: Coronavirus: rice, toilet paper and dried goods fly off shelves as rumours spark panic buying in Hong Kong https://t.co/s…"
237,RT @Independent: Boris Johnson’s father accidentally emails BBC expressing China’s concerns over ‘no message’ from PM after coronavirus - f…
238,RT @Secret_Beijing: Update: Two of the German nationals who were evacuated from Wuhan to Germany were diagnosed with the novel #coronavirus…
