ID,text
110,RT @KonstantinNico: Got deleted! Just repost this! #coronavirus #coronoavirus https://t.co/ozVeMlYMsW
111,"RT @greyslovecaTS: STOP PRIORITZING YOUR CURIOSITY OVER YOUR MENTAL HEALTH‼️

Just don’t share, retweet, or watch the trinoma incident. Ple…"
112,"RT @luhantheworld: I hope Nature Republic takes the virus outbreak seriously bc not only EXO will be in the fanmeet but, thousands of other…"
113,"RT @badiucao: video from 佛祖岭a 区 FuZuling，#wuhan showing medics are rushing.
Not sure the situation there，could b patient die on the street.…"
114,RT @MxhIbh: China and Israel? https://t.co/5NlVc6Wzc0
115,"RT @new_prykm: This video shows how South Korea Airport is dealing with #coronavirus #โคโรน่าไวรัส from spreading.

อยากเห็นแบบนี้ในไทย
Cr.…"
116,RT @giyaniview: Dr Shongile Pretty Nkwashu was this morning laid to rest in Mayepu Village cemetery. Health MEC Dr Phophi Ramathuba was par…
117,RT @hanzyboii: Why do I feel like he's gonna turn into a zombie
118,"RT @LiveThinkGrow: Liang Wudong, just become the first doctor to die from the new Coronavirus in #China 

A reminder that while everyone el…"
119,I pray everyone stays safe. Since I left the hospital if I have to go out in public been wearing a mask😷. Maybe we… https://t.co/PKiqG0BTSX
120,"RT @business: Coronavirus update:
- At least 56 people have died in China
- More than 2,000 people have been affected around the world
- 15…"
121,"RT @new_prykm: This video shows how South Korea Airport is dealing with #coronavirus #โคโรน่าไวรัส from spreading.

อยากเห็นแบบนี้ในไทย
Cr.…"
122,RT @howroute: New video from the quarantine zone in China. Medical personal checking #coronavirus patients. There’re multiple reports from…
123,RT @ReiGermar: PLEASE WATCH THIS ☺️
124,RT @Unkle_K: This is how the coronavirus started
125,RT @0j0093: I just read about a Chinese woman from Wuhan who deceived France security checks to enter France last night and today I wake up…
126,@KingAbdullahII Aslamwalkm  sir  please help me for my father heart surgery ALLAHA give you long life good health k… https://t.co/Djtgz3MzDd
127,RT @fiqsyhmie: To all those Chinese fuckers who started coronavirus.
128,"Some of the best health and fitness and make money online products 

Visit:  https://t.co/aUPMKqHCBm… https://t.co/Mwv5ZVZCYf"
129,"RT @NabellaAnuar: DENY CHINA’S VISITOR ENTRY!!!!

DENY CHINA’S VISITOR ENTRY!!!!

DENY CHINA’S VISITOR ENTRY!!!!"
130,RT @CuntyGowon: Omg keep streaming guys ✨
131,RT @sxdoc: CORONAVIRUS is a Patented Virus: Bill &amp; Melinda Gates Foundation One of the Primary Owners. Deep State Released the Virus to cre…
132,"RT @PDChina: Huoshenshan Hospital, a new facility providing 700 to 1,000 beds for #coronavirus patients in #Wuhan, is expected to be handed…"
133,"RT @aminsyafee: 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…"
134,"Transgender youth have a much greater risk of suicide. However, if they have access to a puberty blocker, their cha… https://t.co/VrW8rx2lTU"
135,"RT @allkpop: NCT Dream and SF9 fans demand their labels take action to keep artists out of China due to the coronavirus
https://t.co/JO0xJt…"
136,"RT @ArifJemali: Coronavirus might comes from snake (Source :WHO)

This virus shows that how Islam literally take care what do we eat. What…"
137,RT @eastbIoc: westerners are like “wow the chinese govt is doing a bad job with coronavirus” while their kids are coming back from school w…
138,RT @Unkle_K: This is how the coronavirus started
139,"RT @daisyanne05: this is allegedly a voice note from a nurse in Wuhan, China at the epicenter of where the coronavirus began. heartbreaking…"
140,"RT @richardvolle: Good News
Infected patient fully recover from Coronavirus
#coronarovirus #2019_nCov #WuhanChina https://t.co/VH7RCjYBYn"
141,RT @SCMPNews: Doctors warn China coronavirus carriers may show no symptoms of illness https://t.co/gNdj3b5l3t
142,"RT @rrahadiansyah1: 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
-…"
143,"RT @DarrenPlymouth: #coronavirus in action.

https://t.co/af7w2Z4Uu7"
144,RT @nikitaehoo: Laughs in Indonesian @jokowi @ditjen_imigrasi #TolakSementaraTurisChina #TolakTurisChina
145,"RT @pmcafrica: SPEAK any of these into existence and see how God will work his power 🙏🏽🙏🏽

1. New job/ Contract
2. New house 
3. Admission/…"
146,Can’t get the coronavirus if it’s @ModeloUSA time
147,"given there were no vaccines for SARS or MERS, this would be quite the breakthrough."
148,RT @Unkle_K: This is how the coronavirus started
149,"RT @McCormickProf: Senator @BernieSanders, I share few of your convictions, but I respect you as a man of conviction. You are not a politic…"
150,@ProtoAko @KJ33_ @SwiftyTO @TheTrueVanguard You obviously don't even care for game balance or for the health of the… https://t.co/fTF6Dawrc4
151,"RT @purplelovehime: Translation of the Wuhan Doctor video that's going viral..
#CoronavirusOutbreak 
#coronavirus 
#coronavirusPH https://t…"
152,RT @AndrewYang: A family doctor in Iowa told me that when people get sick in his town they lose their jobs and get kicked off of their insu…
153,RT @BernieSanders: No one should have to watch a loved one die because they don't have health insurance. I don't understand what is so radi…
154,RT @Fact: 5 Benefits of Kissing: How It Affects Your Mental and Physical Health... https://t.co/jQtcjVBhx7
155,RT @Unkle_K: This is how the coronavirus started
156,RT @Unkle_K: This is how the coronavirus started
157,"RT @MONBEBEnt: prayer circle:

                🕯         🕯
      🕯                               🕯
                   MX OT7…"
158,RT @StrategicNews2: 🔴#BREAKING The province of #Guangdong (106 million inhabitants) announces that all citizens are forced to wear a mask i…
159,"RT @enadkk: Chinese tourists should be BANNED from entering the Philippines. No buts, no ifs. Our health and safety SHOULD BE top priority.…"
